sku,price,msrp_price,errors
BA14M-SM,4599,4599,
UG405DMAUS,4180,4180,
UGA415M,5649,5649,"Product Type is invalid or not supported"
UG415D-1,7580,7580,"Product Type is invalid or not supported"
UD505DAUS10,5800,5800,
UD505DAUS,5800,5800,
UD511MDAUS,7244,7244,
UDA515-1,8466,8466,"Product Type is invalid or not supported"
HTY505DAUS15,8980,8980,
HTY505DAUS,9300,9300,
HTY511DAUS,10180,10180,
HTYA615,10899,10899,"Product Type is invalid or not supported"
HTY505DHAUS,13542,13542,
HTY511DHAUS,15049,15049,
HTYA615H,15310,15310,"Product Type is invalid or not supported"
UD512DAUS,8956,8956,
FD511DAUS,8956,8956,
UD516DAUS,9481,9481,
FD516DAUS,9971,9971,
SWT262TAUS,10224,10224,
SWT262TDAUS,10978,10978,
